"","Ascomorpha_ecaudis","Asellus_aquaticus","Corophium_multisetosum","Crangonyx","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cricotopus_laricomalis","Cyclopidae","Cyclops","Cyclops_abyssorum","Cypridopsis_vidua","Daphnia","Daphnia_longispina","Diaphanosoma_brachyurum","Dikerogammarus_villosus","Diptera","Dreissena_polymorpha","Endochironomus_albipennis","Euchlanis_dilatata","Eudiaptomus_gracilis","Gammarus_tigrinus","Gammarus_zaddachi","Gyraulus_albus","Helobdella_stagnalis","Homo_sapiens","Hydra_oligactis","Hymenoptera","Kellicottia_sp._BIOUG30062-G11","Keratella_cochlearis","Limnodrilus_hoffmeisteri","Lumbriculus_variegatus","Lymnaea_stagnalis","Maxillopoda_sp._BOLD:ACW5478","Mesocyclops_leuckarti","Microtendipes","Molanna_angustata","Osmia_bicornis","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polypedilum_sp._9_SC","Polyphemus_pediculus","Potamopyrgus_antipodarum","Schmidtea_polychroa","Sida_crystallina","Sigara","Synchaeta_cf._tremula/oblonga_UO-2012","Synchaeta_pectinata","Synchaeta_sp._WM-2017a","Tanytarsus_bathophilus","Tubifex_tubifex"
"eCH5",0.0917353823088456,0.000468515742128936,0,0,0,0,0,0.552192653673163,0,0,0,0.0513493253373313,0,0,0.00149925037481259,0,0.00543478260869565,0,0,0.00299850074962519,0,0,0,0,0,0,0,0.00224887556221889,0.00346701649175412,0,0,0,0,0,0,0,0,0.188155922038981,0.0885494752623688,0.000562218890554723,0.00065592203898051,0.00646551724137931,0,0,0,0.00234257871064468,0.00112443778110945,0,0,0
"eCH4",0.00840523239632619,0,0,0,0,0,0.000612301697745616,0.0816031171722794,0,0,0.00283885332591149,0.737155580295018,0.00183690509323685,0.00623434455886446,0.00055663790704147,0,0,0,0,0.0406902310047314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194823267464514,0.00116893960478709,0,0.116949624269413,0,0,0,0,0,0,0,0,0
"eCH3",0.0458100558659218,0,0,0,0,0,0,0.65290259897984,0,0,0,0.00136021374787467,0.000728685936361428,0,0,0,0.00242895312120476,0,0,0.019917415593879,0,0,0,0,0,0,0,0,0,0,0,0,0.000340053436968666,0.00893854748603352,0,0,0,0.0550400777264999,0.0170026718484333,0,0.193587563760019,0,0,0,0,0,0.00126305562302648,0,0,0
"eCH2",0.0209895052473763,0,0,0,0,0,0,0.910982008995502,0,0,0,0.00862068965517241,0,0.00168665667166417,0.000937031484257871,0,0.00262368815592204,0,0,0.0236131934032984,0,0,0,0,0,0,0,0.00112443778110945,0,0,0,0,0,0,0,0,0,0.0200524737631184,0.00824587706146927,0,0.000562218890554723,0.000562218890554723,0,0,0,0,0,0,0,0
"eCH1",0.0609365737996443,0,0,0,0,0,0,0.857261410788382,0,0,0,0.0021339656194428,0,0,0,0.0003556609365738,0.0200355660936574,0,0.0004742145820984,0.001185536455246,0,0,0,0,0,0,0,0,0.0003556609365738,0,0,0,0,0.0103141671606402,0,0,0,0.0369887374036752,0.00663900414937759,0.0003556609365738,0.000711321873147599,0,0,0,0,0,0.001185536455246,0.0003556609365738,0,0
"CH.108",0,0,0,0,0.998071985066648,0.0019017238206245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.107",0,0,0,0,0.990341482260522,0.0092006324540505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.106",0,0,0,0,0.000875473880357258,0.999000032127482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.105",0,0,0,0,0.001318391562294,0.998416414732647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.104",0,0,0,0,0.997491775642809,0.00157122047824023,0,0,0,0,0,0,0,0,0.000748784759161361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.103",0,0,0,0,0.00101287733247104,0.997883894774884,0,0,0,0,0,0,0,0,0,0,0,0.00101287733247104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.102",0,0,0,0,0.993767015331709,0.00603108025374826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.101",0,0,0,0,0.995449494682258,0.00455050531774168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.205",0,0,0,0,0.00870149504451537,0.977171174197883,0,0,0,0,0,0,0,0,0.0140433394926928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.204",0,0,0,0,0.0604949587534372,0.910174152153987,0,0,0,0,0,0,0,0,0.0192483959670028,0,0,0,0,0,0,0.0100824931255729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.202",0,0,0,0,0.999519908782669,0.000480091217331293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.201",0,0,0,0,0.00311142421040272,0.996888575789597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.110",0,0,0,0,0.998223434616663,0.00166194826183135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.109",0,0,0,0,0.995456928184519,0.00419360475275205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000349467062729338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.309",0,0,0,0,0.0210549164315173,0.975689168656392,0,0,0,0,0,0,0,0,0.0032559149120903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.308",0,0,0,0,0.00107700592353258,0.996230479267636,0,0,0,0,0,0,0,0,0.00215401184706516,0,0,0,0,0,0,0.00053850296176629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99944173712797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.210",0,0,0,0,0.938380281690141,0.00352112676056338,0,0,0,0,0,0,0,0,0.0580985915492958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.209",0,0,0,0,0.968714231209462,0.0221289584128195,0,0,0.00610454025181229,0,0,0,0,0,0.00305227012590614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.208",0,0,0,0,0.998108265424913,0.000400174621653085,0,0,0,0,0,0,0,0,0.00105500582072177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.207",0,0,0,0,0.998534082580015,0.00073295870999267,0,0,0,0,0,0,0,0,0.00073295870999267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.317",0,0,0,0,0,0.998672765140687,0,0,0,0,0,0,0,0,0.00122513987013517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.315",0,0,0.000851305334846765,0,0,0.998581157775255,0,0,0,0,0,0,0,0,0.000567536889897843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.312",0,0,0,0,0,0.999862119680118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.311",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.409",0,0,0,0,0.000394503254651851,0.99901374186337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328752712209876
"CH.408",0,0,0,0,0.000960461021290219,0.989595005602689,0,0,0,0.00528253561709621,0,0,0,0,0,0,0,0,0,0,0,0.000800384184408516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000640307347526813,0.00272130622698895,0,0,0,0,0,0
"CH.407",0,0,0,0,0,0.999730875327996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.406",0,0,0,0,0,0.99969111969112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.405",0,0,0,0,0.000355309909198579,0.999644690090801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.404",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.403",0,0,0,0,0.000458382673134956,0.999045036097636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.402",0,0,0,0,0,0.996337369010072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013226167463628,0.000813917997761726,0,0,0,0,0,0,0,0,0,0,0,0,0.000915657747481941,0,0,0,0,0,0.000610438498321294
"CH.504",0,0,0,0,0.92481939512673,0.000489775927513163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746908289457573,0,0,0,0,0,0,0,0
"CH.503",0,0,0,0,0,0.997648902821317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235109717868339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.501",0,0,0,0,0.011889035667107,0.985138705416116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132100396301189,0,0,0,0,0,0,0,0,0,0,0.00165125495376486,0,0,0,0,0,0,0,0
"CH.510",0,0,0.0133333333333333,0,0.00596491228070175,0.977543859649123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315789473684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.509",0,0,0.00600600600600601,0,0.991991991991992,0.002002002002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
